SWO capture clock
Time	Approx	PC	ITM1	ITM2	ITM3	ITM4	
967410.98 us	 	---		1001			
967412.98 us	 	---			19055741		
967485.75 us	 	---				19056742	
977441.29 us	 	---	69				
977443.29 us	 	---		1001			
977445.33 us	 	---			19065741		
977483.04 us	 	---				19066742	
987447.46 us	 	---	70				
987449.46 us	 	---		1001			
987451.46 us	 	---			19075741		
987453.46 us	 	---				19076742	
997305.56 us	 	---	71				
997461.23 us	 	---		1001			
997463.23 us	 	---			19085741		
997465.23 us	 	---				19086742	
1s 7338.08 us	 	---	72				
1s 7340.13 us	 	---		1002			
1s 7342.13 us	 	---			19095741		
1s 7344.12 us	 	---				19096743	
1s 17368.44 us	 	---	73				
1s 17370.44 us	 	---		1002			
1s 17372.48 us	 	---			19105741		
1s 17374.48 us	 	---				19106743	
1s 27398.96 us	 	---	74				
1s 27400.96 us	 	---		1002			
1s 27402.96 us	 	---			19115741		
1s 27469.83 us	 	---				19116743	
1s 37431.50 us	 	---	75				
1s 37433.54 us	 	---		1001			
1s 37435.58 us	 	---			19125742		
1s 37437.58 us	 	---				19126743	
1s 47431.52 us	 	---	76				
1s 47433.56 us	 	---		1001			
1s 47435.56 us	 	---			19135742		
1s 47437.56 us	 	---				19136743	
1s 57295.65 us	 	---	77				
1s 57445.31 us	 	---		1001			
1s 57447.31 us	 	---			19145742		
1s 57449.31 us	 	---				19146743	
1s 67328.12 us	 	---	78				
1s 67330.17 us	 	---		1001			
1s 67332.17 us	 	---			19155742		
1s 67334.17 us	 	---				19156743	
1s 77358.65 us	 	---	79				
1s 77360.65 us	 	---		1001			
1s 77362.65 us	 	---			19165742		
1s 77364.69 us	 	---				19166743	
1s 87389.04 us	 	---	80				
1s 87391.04 us	 	---		1001			
1s 87393.04 us	 	---			19175742		
1s 87453.90 us	 	---				19176743	
1s 97418.19 us	 	---	81				
1s 97420.23 us	 	---		1001			
1s 97422.23 us	 	---			19185742		
1s 97424.23 us	 	---				19186743	
1s 107417.35 us	 	---	82				
1s 107419.35 us	 	---		1001			
1s 107421.40 us	 	---			19195742		
1s 107423.44 us	 	---				19196743	
1s 117285.79 us	 	---	83				
1s 117429.37 us	 	---		1001			
1s 117431.42 us	 	---			19205742		
1s 117433.42 us	 	---				19206743	
1s 127316.19 us	 	---	84				
1s 127318.19 us	 	---		1001			
1s 127320.19 us	 	---			19215742		
1s 127322.19 us	 	---				19216743	
1s 137348.71 us	 	---	85				
1s 137350.71 us	 	---		1001			
1s 137352.71 us	 	---			19225742		
1s 137354.71 us	 	---				19226743	
1s 147379.13 us	 	---	86				
1s 147381.12 us	 	---		1001			
1s 147383.12 us	 	---			19235742		
1s 147437.98 us	 	---				19236743	
1s 157402.27 us	 	---	87				
1s 157404.31 us	 	---		1001			
1s 157406.31 us	 	---			19245742		
1s 157408.31 us	 	---				19246743	
1s 167407.42 us	 	---	88				
1s 167409.42 us	 	---		1002			
1s 167411.42 us	 	---			19255742		
1s 167413.42 us	 	---				19256744	
1s 177275.88 us	 	---	89				
1s 177413.46 us	 	---		1002			
1s 177415.46 us	 	---			19265742		
1s 177417.50 us	 	---				19266744	
1s 187306.27 us	 	---	90				
1s 187308.27 us	 	---		1002			
1s 187310.27 us	 	---			19275742		
1s 187312.27 us	 	---				19276744	
1s 197338.79 us	 	---	91				
1s 197340.83 us	 	---		1002			
1s 197419.02 us	 	---			19285742		
1s 197421.02 us	 	---				19286744	
